id;nombre;descripcion;colores/0;colores/1;colores/2;tamanos/0;tamanos/1;tamanos/2;tamanos/3;categoria;precio;image;condicionesVenta;descuento;stock;rating;nuevo;sku;tags/0;tags/1;tags/2;tags/3;tamanos/4
1;Zapatilla Deportiva;Diseño ergonómico y materiales resistentes, permiten un soporte óptimo durante carreras, entrenamientos o caminatas largas. Un complemento perfecto para un look activo y casual, combinando funcionalidad y estética en un solo producto que garantiza rendimiento y durabilidad en todo momento.;Crimson;Teal;RebeccaPurple;35;37;40;42;Zapatillas;70000;https://i.ibb.co/NdKGRz3n/zapabordo.webp;35% de descuento.;0.35;20;5;true;SKU: 77900403467;deportivo;comodidad;estilo;entrenamiento;
2;Zapatilla Urbana;Las zapatillas urbanas ofrecen una mezcla perfecta de estilo moderno y funcionalidad diaria. Con colores fluo que destacan en cualquier outfit, son ideales para recorrer la ciudad con comodidad y confianza. Su suela flexible y acolchada proporciona soporte durante todo el día, mientras que el diseño ligero permite libertad de movimiento y ventilación.;Fuchsia;Chartreuse;MediumSlateBlue;35;37;39;41;Zapatillas;65000;https://i.ibb.co/Y4qkSfY2/zapafuxia.webp;Descuento 10%.;0.1;15;4;false;SKU: 77900403429;urbano;comodidad;moda;colores;
3;Zapatilla Clásica;La suela ligera y flexible facilita caminar largas distancias, mientras que los materiales de alta calidad garantizan durabilidad y resistencia. Son perfectas para quienes buscan un calzado versátil que pueda adaptarse a distintas ocasiones.;MediumOrchid;DeepPink;DodgerBlue;35;37;39;41;Zapatillas;60000;https://i.ibb.co/qtLvym8/zapavioleta.webp;Precio regular.;0;25;3.5;false;SKU: 77900401877;clásico;versátil;comodidad;diario;
4;Zapatilla con luces;Ideales para niños y adolescentes, combinan estilo y funcionalidad en cada paso. La suela amortigua impactos y proporciona estabilidad, mientras que las luces integradas se iluminan con cada movimiento, añadiendo un toque mágico a cualquier actividad. Además, los materiales de alta calidad, permitiendo un uso prolongado sin perder su forma ni color. ;Black;Red;RoyalBlue;35;37;39;41;Zapatillas;70000;https://i.ibb.co/fYSRxLjV/zapaluz.webp;Precio regular.;0;10;5;true;SKU: 77900401467;niños;divertido;comodidad;luces;
5;Zapatilla Nike;Perfectas para quienes buscan rendimiento sin sacrificar estética, estas zapatillas destacan por su suela con gran tracción y absorción de impactos. Ideales tanto para deportes como para un look casual, garantizan versatilidad, confort y elegancia en un solo calzado, adaptándose a diferentes ocasiones y estilos de vida activos.;FireBrick;MediumBlue;DarkViolet;35;37;39;41;Zapatillas;80000;https://i.ibb.co/Kp16b02h/zapaverdem.webp;Precio regular.;0;30;4.5;false;SKU: 77900403760;deportivo;moderno;comodidad;marca;
6;Zapatilla Clásica;Estas zapatillas clásicas combinan comodidad y estilo casual, pensadas para quienes buscan un calzado versátil para el día a día. Los cordones agregan un toque divertido y personal, mientras que la suela ligera ofrece soporte y flexibilidad en cada paso.;FireBrick;RoyalBlue;DarkViolet;35;37;39;41;Zapatillas;60000;https://i.ibb.co/FqjSzhb4/zapaazul.webp;Precio regular.;0;12;4;false;SKU: 77900403739;clásico;comodidad;diario;versátil;
7;Gorra de diseño;Esta gorra de diseño moderno combina estilo y funcionalidad para quienes buscan destacar en su look diario. Fabricada con materiales resistentes y cómodos, permite un ajuste perfecto gracias a su talla regulable. Aporta un toque de moda gracias a sus colores llamativos y patrones únicos.;Black;White;Crimson;Regulable;;;;Gorras;30000;https://i.ibb.co/Q7BNyhYZ/gorra1.webp;5% de descuento.;0.05;50;4.5;true;SKU: 77900401739;moda;urbano;comodidad;protección;
8;Gorra Clásica;La gorra clásica ofrece un diseño tradicional que combina elegancia y practicidad. Con materiales duraderos y cómodos, se ajusta fácilmente a la cabeza gracias a su sistema regulable. Ideal para quienes buscan un accesorio discreto pero estilizado, protege del sol y es apta para actividades diarias o paseos urbanos.;MediumBlue;Gray;Black;Regulable;;;;Gorras;25000;https://i.ibb.co/BVX2Nnqj/gorra2.webp;10% de descuento.;0.1;30;1;false;SKU: 77900402739;clásico;diario;comodidad;protección;
9;Gorra Deportiva;Esta gorra deportiva está diseñada para actividades físicas y al aire libre, combinando estilo y funcionalidad. Los colores pastel aportan un toque moderno y llamativo, mientras que la estructura ligera permite confort durante todo el día. Su ajuste regulable asegura estabilidad y comodidad, incluso durante movimientos activos.;Pink;LightSkyBlue;MediumSeaGreen;XS;S;M;L;Gorras;35000;https://i.ibb.co/QvbXZNG4/gorra3.webp;2x1 en gorras.;0.5;20;4.5;true;SKU: 77900402731;deportivo;moderno;confort;práctico;XL
10;Gorra Urbana;La gorra urbana combina estilo moderno y comodidad para quienes buscan un accesorio versátil y llamativo. Su ajuste regulable garantiza confort durante todo el día, mientras que los materiales duraderos aseguran resistencia y mantenimiento de la forma. Perfecta para complementar looks urbanos.;DarkOrange;White;ForestGreen;XS;S;M;L;Gorras;40000;https://i.ibb.co/vC46SQVR/gorra4.webp;10% de descuento.;0.1;25;1.5;false;SKU: 77900402131;urbano;moderno;comodidad;práctico;XL
11;Mochila Negra;Esta mochila negra combina elegancia, espacio y funcionalidad. Ideal para estudiantes, profesionales o viajeros, ofrece múltiples compartimentos que permiten organizar libros, dispositivos electrónicos y objetos personales con facilidad. Las correas acolchadas y ajustables proporcionan soporte y reducen la fatiga en hombros y espalda. Además, su estética clásica y versátil permite combinarla con distintos estilos de ropa y situaciones.;Black;DimGray;RoyalBlue;40x25x14cm.;;;;Accesorios;120000;https://i.ibb.co/nW2sxBg/bolso1.webp;Devoluciones dentro de los 30 días.;0;18;2.5;false;SKU: 77900402151;elegante;espacioso;comodidad;práctico;
12;Mochila y billetera;Este conjunto de mochila y billetera combina estilo, funcionalidad y practicidad. La mochila ofrece amplio espacio para transportar, mientras que la billetera permite organizar tarjetas y dinero de manera segura. Ambos productos están fabricados con materiales duraderos y resistentes, asegurando un uso prolongado sin perder su estética. ;LightPink;LightYellow;White;35x60x12cm.;;;;Accesorios;80000;https://i.ibb.co/YBvG5SV9/bolso2.webp;Devoluciones dentro de los 30 días.;0;12;3.5;false;SKU: 77900409141;elegante;conjunto;práctico;moderno;
13;Cartera de mujer;Esta cartera de mujer combina diseño moderno, funcionalidad y estilo. Ideal para transportar objetos personales de forma organizada, cuenta con compartimentos para tarjetas, dinero y accesorios pequeños. Fabricada con materiales resistentes y duraderos.;Yellow;Green;Black;40x60x13cm.;;;;Accesorios;60000;https://i.ibb.co/W4NjfgHL/carteraamarilla.webp;NO se aceptan devoluciones.;0;10;3;false;SKU: 77900409173;moderna;funcional;práctica;versátil;
14;Cartera de mano;Esta cartera de mano clásica de cuero combina elegancia, funcionalidad y estilo atemporal. Su diseño permite transportar objetos esenciales como dinero, tarjetas y accesorios pequeños de manera organizada. Fabricada con materiales de alta calidad, mantiene su durabilidad y estética a lo largo del tiempo.;SaddleBrown;Black;MediumBlue;18x30x12cm.;;;;Accesorios;75000;https://i.ibb.co/HfRrKVcK/carteraazul.webp;20% de descuento.;0.2;8;4;true;SKU: 77900406173;clásica;cuero;elegante;funcional;
15;Cartera Colores vivos;Su diseño llamativo y versátil la hace ideal para quienes buscan destacar y expresar personalidad a través de sus accesorios. Perfecta para el día a día, reuniones informales o salidas especiales, combina funcionalidad, estilo y comodidad en un solo producto, convirtiéndola en un accesorio indispensable para quienes buscan moda, practicidad y alegría.;Yellow;Green;Fuchsia;40x40x18cm.;;;;Accesorios;90000;https://i.ibb.co/nsbbRJ8Y/carteraverde.webp;15% de descuento.;0.15;14;4.5;true;SKU: 77900402133;vibrante;moderna;funcional;colorida;
16;Zapatilla Rural;Estas zapatillas clásicas están pensadas para el uso diario, combinando confort y estilo. Su diseño tipo alpargata con un toque original a un calzado tradicional. La suela ligera y flexible facilita caminar largas distancias, mientras que los materiales de alta calidad garantizan durabilidad y resistencia.;Black;khaki;blue;35;37;39;41;Zapatillas;58000;https://i.ibb.co/5g5HCfz0/zapatillasrural.webp;Descuento por cantidad;0;15;3.5;false;SKU: 77900401983;rural;trabajo;comodidad;diario;
17;Zapatilla de Tenis;Estas zapatillas están pensadas para el el jugador de tenis, combinando confort y estilo. Su diseño tipo ergonometrico con un toque original a un calzado tradicional. La suela ligera y flexible facilita el agarre al suelo, Son perfectas para quienes práctican el deporte.;White;khaki;DarkOrange;35;37;39;41;Zapatillas;80000;https://i.ibb.co/D3vh9X8/zapatillasdetenis.webp;Precio regular.;0;25;4.5;false;SKU: 77900401877;clásico;versátil;comodidad;diario;
18;Gorra varios diseños;Esta gorra de diseño moderno combina estilo y funcionalidad para quienes buscan destacar en su look diario. Fabricada con materiales resistentes y cómodos, permite un ajuste perfecto gracias a su talla regulable. Ideal para actividades urbanas o casuales, protege del sol y aporta un toque de moda gracias a sus colores llamativos y patrones únicos.;Black;Pink;LightSkyBlue;Regulable;;;;Gorras;28000;https://i.ibb.co/3Yk4VR3t/gorravariosdise-os.webp;15% de descuento.;0.15;50;2.5;true;SKU: 77900401769;moda;urbano;comodidad;protección;
19;Gorra camuflada;La gorra clásica ofrece un diseño tradicional que combina elegancia y practicidad. Con materiales duraderos y cómodos, se ajusta fácilmente a la cabeza gracias a su sistema regulable. Un accesorio que aporta comodidad, estilo y protección al mismo tiempo, manteniendo la forma y color con el uso prolongado.;MediumBlue;Gray;Black;Regulable;;;;Gorras;45000;https://i.ibb.co/Nd6y1DtQ/gorracamuflada.webp;10% de descuento.;0.1;30;4;false;SKU: 77900402749;clásico;diario;comodidad;protección;
20;Mochila de vestir;Ésta mochila combina estilo, funcionalidad y practicidad. La mochila ofrece amplio espacio para salidas, además su diseño permite poder llevarla a todo tipo de sitios, Teatro, cocktails, o salida con amigos o al cine, éste producto está fabricados con materiales duraderos y resistentes, asegurando un uso prolongado sin perder su estética.;LightPink;LightYellow;lime;35x60x12cm.;;;;Accesorios;90000;https://i.ibb.co/3mGRcjC8/mochiladevestir.webp;20% descuento;0.2;3;3.5;false;SKU: 77900409854;elegante;conjunto;práctico;moderno;
